No.,WORLD,学年,単元,役割,モンスター名,画像フォルダー
001,1,1年生,足し算,normal,プラスラビット,public/pictures/monsters/001-plus-rabbit/
002,1,1年生,足し算,normal,サムスライム,public/pictures/monsters/002-sum-slime/
003,1,1年生,足し算,normal,ペアバード,public/pictures/monsters/003-pair-bird/
004,1,1年生,足し算,normal,アップルベア,public/pictures/monsters/004-apple-bear/
005,1,1年生,足し算,normal,キャリーフォックス,public/pictures/monsters/005-carry-fox/
006,1,1年生,足し算,normal,サムライオン,public/pictures/monsters/006-sum-lion/
007,1,1年生,足し算,boss,プラス・エンペラー,public/pictures/monsters/007-plus-emperor/
008,1,1年生,引き算,normal,マイナスフォックス,public/pictures/monsters/008-minus-fox/
009,1,1年生,引き算,normal,テイクキャット,public/pictures/monsters/009-take-cat/
010,1,1年生,引き算,normal,リムーブモール,public/pictures/monsters/010-remove-mole/
011,1,1年生,引き算,normal,ディフバード,public/pictures/monsters/011-diff-bird/
012,1,1年生,引き算,normal,バックベア,public/pictures/monsters/012-back-bear/
013,1,1年生,引き算,normal,サブウルフ,public/pictures/monsters/013-sub-wolf/
014,1,1年生,引き算,boss,マイナス・キング,public/pictures/monsters/014-minus-king/
015,2,2年生,時刻,normal,ミニットマウス,public/pictures/monsters/015-minute-mouse/
016,2,2年生,時刻,normal,アワーフクロウ,public/pictures/monsters/016-hour-owl/
017,2,2年生,時刻,normal,クロックキャット,public/pictures/monsters/017-clock-cat/
018,2,2年生,時刻,normal,ベルバード,public/pictures/monsters/018-bell-bird/
019,2,2年生,時刻,normal,タイムラビット,public/pictures/monsters/019-time-rabbit/
020,2,2年生,時刻,normal,クロノウルフ,public/pictures/monsters/020-chrono-wolf/
021,2,2年生,時刻,boss,時空王クロノス,public/pictures/monsters/021-chrono-king/
022,2,2年生,お金,normal,コインラビット,public/pictures/monsters/022-coin-rabbit/
023,2,2年生,お金,normal,イェンキャット,public/pictures/monsters/023-yen-cat/
024,2,2年生,お金,normal,ウォレットベア,public/pictures/monsters/024-wallet-bear/
025,2,2年生,お金,normal,チェンジフォックス,public/pictures/monsters/025-change-fox/
026,2,2年生,お金,normal,ショップバード,public/pictures/monsters/026-shop-bird/
027,2,2年生,お金,normal,ゴールドパンダ,public/pictures/monsters/027-gold-panda/
028,2,2年生,お金,boss,貨幣王マネリオン,public/pictures/monsters/028-money-king/
029,3,3年生,掛け算,normal,ウォータポン,public/pictures/monsters/029-waterpon/
030,3,3年生,掛け算,normal,ツインバード,public/pictures/monsters/030-twinbird/
031,3,3年生,掛け算,normal,ファイアサウルス,public/pictures/monsters/031-firesaurus/
032,3,3年生,掛け算,normal,クローバータートル,public/pictures/monsters/032-clover-turtle/
033,3,3年生,掛け算,normal,スターウルフ,public/pictures/monsters/033-star-wolf/
034,3,3年生,掛け算,normal,シックススピーカー,public/pictures/monsters/034-six-speaker/
035,3,3年生,掛け算,normal,レインボードラゴン,public/pictures/monsters/035-rainbow-dragon/
036,3,3年生,掛け算,normal,オクトパル,public/pictures/monsters/036-octopal/
037,3,3年生,掛け算,normal,シャインペガサス,public/pictures/monsters/037-shine-pegasus/
038,3,3年生,掛け算,normal,マッシブ・ゴーレム,public/pictures/monsters/038-massive-golem/
039,3,3年生,掛け算,normal,ライトニング・ファング,public/pictures/monsters/039-lightning-fang/
040,3,3年生,掛け算,normal,ディバイン・フェニックス,public/pictures/monsters/040-divine-phoenix/
041,3,3年生,掛け算,boss,九九キング・ゴールド,public/pictures/monsters/041-kuku-king-gold/
042,3,3年生,割り算,normal,ハーフペンギン,public/pictures/monsters/042-half-penguin/
043,3,3年生,割り算,normal,ディバイドバード,public/pictures/monsters/043-divide-bird/
044,3,3年生,割り算,normal,シェアラビット,public/pictures/monsters/044-share-rabbit/
045,3,3年生,割り算,normal,グループゴーレム,public/pictures/monsters/045-group-golem/
046,3,3年生,割り算,normal,リメインダーキャット,public/pictures/monsters/046-remainder-cat/
047,3,3年生,割り算,normal,クオシェントウルフ,public/pictures/monsters/047-quotient-wolf/
048,3,3年生,割り算,boss,ディバイド・エンペラー,public/pictures/monsters/048-divide-emperor/
049,4,4年生,小数,normal,ポイントスライム,public/pictures/monsters/049-point-slime/
050,4,4年生,小数,normal,テンスポン,public/pictures/monsters/050-tenths-pon/
051,4,4年生,小数,normal,デシマルキャット,public/pictures/monsters/051-decimal-cat/
052,4,4年生,小数,normal,ドットバード,public/pictures/monsters/052-dot-bird/
053,4,4年生,小数,normal,ゼロテンベア,public/pictures/monsters/053-zero-tenths-bear/
054,4,4年生,小数,normal,ポイントドラゴン,public/pictures/monsters/054-point-dragon/
055,4,4年生,小数,boss,小数王デシマロン,public/pictures/monsters/055-decimal-king/
056,4,4年生,分数,normal,ハーフムーン,public/pictures/monsters/056-half-moon/
057,4,4年生,分数,normal,サードバード,public/pictures/monsters/057-third-bird/
058,4,4年生,分数,normal,クォータービット,public/pictures/monsters/058-quarter-rabbit/
059,4,4年生,分数,normal,ニュメラビット,public/pictures/monsters/059-numerator-rabbit/
060,4,4年生,分数,normal,デノミバード,public/pictures/monsters/060-denominator-bird/
061,4,4年生,分数,normal,フラクションフェアリー,public/pictures/monsters/061-fraction-fairy/
062,4,4年生,分数,boss,分数皇ラショナル,public/pictures/monsters/062-fraction-king/
